snapshot,kingdom,basisOfRecord,occurrenceCount
12/19/07,0,FOSSIL_SPECIMEN,23683
12/19/07,0,LITERATURE,192
12/19/07,0,LIVING_SPECIMEN,569
12/19/07,0,OBSERVATION,263259
12/19/07,0,PRESERVED_SPECIMEN,200564
12/19/07,0,UNKNOWN,314419
12/19/07,1,FOSSIL_SPECIMEN,542243
12/19/07,1,HUMAN_OBSERVATION,554953
12/19/07,1,LITERATURE,78933
12/19/07,1,LIVING_SPECIMEN,1074
12/19/07,1,OBSERVATION,52867430
12/19/07,1,PRESERVED_SPECIMEN,15141897
12/19/07,1,UNKNOWN,9544290
12/19/07,2,PRESERVED_SPECIMEN,403
12/19/07,2,UNKNOWN,128
12/19/07,3,FOSSIL_SPECIMEN,538
12/19/07,3,LIVING_SPECIMEN,7803
12/19/07,3,OBSERVATION,32583
12/19/07,3,PRESERVED_SPECIMEN,18643
12/19/07,3,UNKNOWN,44633
12/19/07,4,FOSSIL_SPECIMEN,42369
12/19/07,4,LIVING_SPECIMEN,2375
12/19/07,4,OBSERVATION,1430756
12/19/07,4,PRESERVED_SPECIMEN,74209
12/19/07,4,UNKNOWN,118052
12/19/07,5,FOSSIL_SPECIMEN,220
12/19/07,5,LITERATURE,196
12/19/07,5,LIVING_SPECIMEN,70733
12/19/07,5,OBSERVATION,549674
12/19/07,5,PRESERVED_SPECIMEN,1312139
12/19/07,5,UNKNOWN,298421
12/19/07,6,FOSSIL_SPECIMEN,79652
12/19/07,6,HUMAN_OBSERVATION,117346
12/19/07,6,LITERATURE,32746
12/19/07,6,LIVING_SPECIMEN,230417
12/19/07,6,OBSERVATION,15502126
12/19/07,6,PRESERVED_SPECIMEN,13190079
12/19/07,6,UNKNOWN,12660104
12/19/07,7,FOSSIL_SPECIMEN,665
12/19/07,7,LIVING_SPECIMEN,2464
12/19/07,7,OBSERVATION,57789
12/19/07,7,PRESERVED_SPECIMEN,189534
12/19/07,7,UNKNOWN,3743
12/19/07,8,FOSSIL_SPECIMEN,1
12/19/07,8,UNKNOWN,564
4/1/08,0,FOSSIL_SPECIMEN,23683
4/1/08,0,LITERATURE,192
4/1/08,0,LIVING_SPECIMEN,614
4/1/08,0,OBSERVATION,264353
4/1/08,0,PRESERVED_SPECIMEN,214533
4/1/08,0,UNKNOWN,302285
4/1/08,1,FOSSIL_SPECIMEN,542243
4/1/08,1,HUMAN_OBSERVATION,555615
4/1/08,1,LITERATURE,78933
4/1/08,1,LIVING_SPECIMEN,1074
4/1/08,1,OBSERVATION,57643588
4/1/08,1,PRESERVED_SPECIMEN,15572067
4/1/08,1,UNKNOWN,10424554
4/1/08,2,PRESERVED_SPECIMEN,403
4/1/08,2,UNKNOWN,128
4/1/08,3,FOSSIL_SPECIMEN,538
4/1/08,3,LIVING_SPECIMEN,7803
4/1/08,3,OBSERVATION,32586
4/1/08,3,PRESERVED_SPECIMEN,18643
4/1/08,3,UNKNOWN,44628
4/1/08,4,FOSSIL_SPECIMEN,42369
4/1/08,4,LIVING_SPECIMEN,2375
4/1/08,4,OBSERVATION,1434093
4/1/08,4,PRESERVED_SPECIMEN,74643
4/1/08,4,UNKNOWN,185374
4/1/08,5,FOSSIL_SPECIMEN,220
4/1/08,5,HUMAN_OBSERVATION,287
4/1/08,5,LITERATURE,196
4/1/08,5,LIVING_SPECIMEN,70735
4/1/08,5,OBSERVATION,570503
4/1/08,5,PRESERVED_SPECIMEN,1343793
4/1/08,5,UNKNOWN,301612
4/1/08,6,FOSSIL_SPECIMEN,79652
4/1/08,6,HUMAN_OBSERVATION,126432
4/1/08,6,LITERATURE,32746
4/1/08,6,LIVING_SPECIMEN,251089
4/1/08,6,OBSERVATION,16289781
4/1/08,6,PRESERVED_SPECIMEN,14069965
4/1/08,6,UNKNOWN,12598122
4/1/08,7,FOSSIL_SPECIMEN,665
4/1/08,7,LIVING_SPECIMEN,2464
4/1/08,7,OBSERVATION,57812
4/1/08,7,PRESERVED_SPECIMEN,189736
4/1/08,7,UNKNOWN,4030
4/1/08,8,FOSSIL_SPECIMEN,1
4/1/08,8,UNKNOWN,564
6/27/08,0,FOSSIL_SPECIMEN,22014
6/27/08,0,HUMAN_OBSERVATION,375
6/27/08,0,LITERATURE,197
6/27/08,0,LIVING_SPECIMEN,702
6/27/08,0,OBSERVATION,284381
6/27/08,0,PRESERVED_SPECIMEN,226842
6/27/08,0,UNKNOWN,312052
6/27/08,1,FOSSIL_SPECIMEN,561768
6/27/08,1,HUMAN_OBSERVATION,555626
6/27/08,1,LITERATURE,103140
6/27/08,1,LIVING_SPECIMEN,1074
6/27/08,1,OBSERVATION,57885382
6/27/08,1,PRESERVED_SPECIMEN,16650359
6/27/08,1,UNKNOWN,14033591
6/27/08,2,PRESERVED_SPECIMEN,406
6/27/08,2,UNKNOWN,130
6/27/08,3,FOSSIL_SPECIMEN,567
6/27/08,3,LIVING_SPECIMEN,7804
6/27/08,3,OBSERVATION,32823
6/27/08,3,PRESERVED_SPECIMEN,67458
6/27/08,3,UNKNOWN,52863
6/27/08,4,FOSSIL_SPECIMEN,45422
6/27/08,4,HUMAN_OBSERVATION,107745
6/27/08,4,LIVING_SPECIMEN,2375
6/27/08,4,OBSERVATION,1790636
6/27/08,4,PRESERVED_SPECIMEN,99745
6/27/08,4,UNKNOWN,62892
6/27/08,5,FOSSIL_SPECIMEN,221
6/27/08,5,HUMAN_OBSERVATION,287
6/27/08,5,LITERATURE,199
6/27/08,5,LIVING_SPECIMEN,70985
6/27/08,5,OBSERVATION,621891
6/27/08,5,PRESERVED_SPECIMEN,1410301
6/27/08,5,UNKNOWN,430396
6/27/08,6,FOSSIL_SPECIMEN,80153
6/27/08,6,HUMAN_OBSERVATION,126501
6/27/08,6,LITERATURE,34301
6/27/08,6,LIVING_SPECIMEN,274140
6/27/08,6,OBSERVATION,16600308
6/27/08,6,PRESERVED_SPECIMEN,15251044
6/27/08,6,UNKNOWN,15448621
6/27/08,7,FOSSIL_SPECIMEN,523
6/27/08,7,LIVING_SPECIMEN,2464
6/27/08,7,OBSERVATION,78997
6/27/08,7,PRESERVED_SPECIMEN,197348
6/27/08,7,UNKNOWN,8018
6/27/08,8,FOSSIL_SPECIMEN,1
6/27/08,8,UNKNOWN,564
10/10/08,0,FOSSIL_SPECIMEN,21884
10/10/08,0,HUMAN_OBSERVATION,24872
10/10/08,0,LITERATURE,203
10/10/08,0,LIVING_SPECIMEN,721
10/10/08,0,OBSERVATION,296948
10/10/08,0,PRESERVED_SPECIMEN,235567
10/10/08,0,UNKNOWN,351852
10/10/08,1,FOSSIL_SPECIMEN,571752
10/10/08,1,HUMAN_OBSERVATION,636922
10/10/08,1,LITERATURE,104659
10/10/08,1,LIVING_SPECIMEN,1076
10/10/08,1,OBSERVATION,62020412
10/10/08,1,PRESERVED_SPECIMEN,19365229
10/10/08,1,UNKNOWN,13923287
10/10/08,2,PRESERVED_SPECIMEN,406
10/10/08,2,UNKNOWN,134
10/10/08,3,FOSSIL_SPECIMEN,576
10/10/08,3,HUMAN_OBSERVATION,36
10/10/08,3,LIVING_SPECIMEN,7828
10/10/08,3,OBSERVATION,32840
10/10/08,3,PRESERVED_SPECIMEN,67721
10/10/08,3,UNKNOWN,54135
10/10/08,4,FOSSIL_SPECIMEN,45580
10/10/08,4,HUMAN_OBSERVATION,550497
10/10/08,4,LIVING_SPECIMEN,2413
10/10/08,4,OBSERVATION,1722539
10/10/08,4,PRESERVED_SPECIMEN,101798
10/10/08,4,UNKNOWN,69885
10/10/08,5,FOSSIL_SPECIMEN,222
10/10/08,5,HUMAN_OBSERVATION,5251
10/10/08,5,LITERATURE,199
10/10/08,5,LIVING_SPECIMEN,70985
10/10/08,5,OBSERVATION,623969
10/10/08,5,PRESERVED_SPECIMEN,1437527
10/10/08,5,UNKNOWN,464356
10/10/08,6,FOSSIL_SPECIMEN,80292
10/10/08,6,HUMAN_OBSERVATION,356925
10/10/08,6,LITERATURE,34301
10/10/08,6,LIVING_SPECIMEN,415806
10/10/08,6,OBSERVATION,17055468
10/10/08,6,PRESERVED_SPECIMEN,15927270
10/10/08,6,UNKNOWN,18703537
10/10/08,7,FOSSIL_SPECIMEN,534
10/10/08,7,HUMAN_OBSERVATION,417
10/10/08,7,LIVING_SPECIMEN,2483
10/10/08,7,OBSERVATION,78997
10/10/08,7,PRESERVED_SPECIMEN,197847
10/10/08,7,UNKNOWN,7955
10/10/08,8,FOSSIL_SPECIMEN,1
10/10/08,8,UNKNOWN,564
12/17/08,0,FOSSIL_SPECIMEN,34838
12/17/08,0,HUMAN_OBSERVATION,33130
12/17/08,0,LITERATURE,203
12/17/08,0,LIVING_SPECIMEN,722
12/17/08,0,OBSERVATION,350696
12/17/08,0,PRESERVED_SPECIMEN,223573
12/17/08,0,UNKNOWN,296749
12/17/08,1,FOSSIL_SPECIMEN,644168
12/17/08,1,HUMAN_OBSERVATION,111965
12/17/08,1,LITERATURE,104663
12/17/08,1,LIVING_SPECIMEN,1242
12/17/08,1,OBSERVATION,69031960
12/17/08,1,PRESERVED_SPECIMEN,18786197
12/17/08,1,UNKNOWN,13554269
12/17/08,2,PRESERVED_SPECIMEN,406
12/17/08,2,UNKNOWN,134
12/17/08,3,FOSSIL_SPECIMEN,606
12/17/08,3,HUMAN_OBSERVATION,36
12/17/08,3,LIVING_SPECIMEN,7828
12/17/08,3,OBSERVATION,33174
12/17/08,3,PRESERVED_SPECIMEN,67726
12/17/08,3,UNKNOWN,54203
12/17/08,4,FOSSIL_SPECIMEN,45946
12/17/08,4,HUMAN_OBSERVATION,721618
12/17/08,4,LIVING_SPECIMEN,2413
12/17/08,4,OBSERVATION,1714972
12/17/08,4,PRESERVED_SPECIMEN,105561
12/17/08,4,UNKNOWN,73699
12/17/08,5,FOSSIL_SPECIMEN,247
12/17/08,5,HUMAN_OBSERVATION,4969
12/17/08,5,LITERATURE,199
12/17/08,5,LIVING_SPECIMEN,70995
12/17/08,5,OBSERVATION,675057
12/17/08,5,PRESERVED_SPECIMEN,1467886
12/17/08,5,UNKNOWN,466697
12/17/08,6,FOSSIL_SPECIMEN,80819
12/17/08,6,HUMAN_OBSERVATION,349020
12/17/08,6,LITERATURE,34301
12/17/08,6,LIVING_SPECIMEN,427429
12/17/08,6,OBSERVATION,24717602
12/17/08,6,PRESERVED_SPECIMEN,13615441
12/17/08,6,UNKNOWN,16100874
12/17/08,7,FOSSIL_SPECIMEN,537
12/17/08,7,HUMAN_OBSERVATION,451
12/17/08,7,LIVING_SPECIMEN,2484
12/17/08,7,OBSERVATION,101301
12/17/08,7,PRESERVED_SPECIMEN,198119
12/17/08,7,UNKNOWN,9079
12/17/08,8,FOSSIL_SPECIMEN,1
12/17/08,8,UNKNOWN,564
4/6/09,0,FOSSIL_SPECIMEN,35033
4/6/09,0,HUMAN_OBSERVATION,33771
4/6/09,0,LITERATURE,203
4/6/09,0,LIVING_SPECIMEN,1115
4/6/09,0,OBSERVATION,338498
4/6/09,0,PRESERVED_SPECIMEN,283724
4/6/09,0,UNKNOWN,268978
4/6/09,1,FOSSIL_SPECIMEN,659899
4/6/09,1,HUMAN_OBSERVATION,339265
4/6/09,1,LITERATURE,105013
4/6/09,1,LIVING_SPECIMEN,1262
4/6/09,1,OBSERVATION,75469655
4/6/09,1,PRESERVED_SPECIMEN,21702431
4/6/09,1,UNKNOWN,13180871
4/6/09,2,LIVING_SPECIMEN,376
4/6/09,2,PRESERVED_SPECIMEN,406
4/6/09,2,UNKNOWN,134
4/6/09,3,FOSSIL_SPECIMEN,634
4/6/09,3,HUMAN_OBSERVATION,260
